ProbeID	PrimaryAccession	RefSeqAccession	GenbankAccession	UniGeneID	EntrezGeneID	GeneSymbol	GeneName	EnsemblID	TIGRID	GO	Description	GenomicCoordinates	Cytoband
A_23_P10077	NM_020376	NM_020376	NM_020376	Hs.437594	57104	PNPLA2	patatin-like phospholipase domain containing 2	ENST00000336615	THC2466068	GO:0006629(lipid metabolic process)	"Homo sapiens patatin-like phospholipase domain containing 2 (PNPLA2), mRNA [NM_020376]"	chr11:814896-814955	hs|11p15.5
A_23_P100779	NM_001076683	NM_001076683	NM_001076683	Hs.89781	7343	UBTF	"upstream binding transcription factor, RNA polymerase I"	ENST00000302904	THC2761177	"GO:0003677(DNA binding)|GO:0003701(RNA polymerase I transcription factor activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005730(nucleolus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006356(regulation of transcription from RNA polymerase I promoter)"	"Homo sapiens upstream binding transcription factor, RNA polymerase I (UBTF), transcript variant 2, mRNA [NM_001076683]"	chr17:39640793-39640641	hs|17q21.31
A_23_P100788	NM_012448	NM_012448	NM_012448	Hs.632256	6777	STAT5B	signal transducer and activator of transcription 5B	ENST00000293328	THC2464092	GO:0001553(luteinization)|GO:0001779(natural killer cell differentiation)|GO:0003700(transcription factor activity)|GO:0004871(signal transducer activity)|GO:0005509(calcium ion binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0007242(intracellular signaling cascade)|GO:0007259(JAK-STAT cascade)|GO:0007565(pregnancy)|GO:0007595(lactation)|GO:0008284(positive regulation of cell proliferation)|GO:0019218(regulation of steroid metabolic process)|GO:0019221(cytokine and chemokine mediated signaling pathway)|GO:0019915(sequestering of lipid)|GO:0030155(regulation of cell adhesion)|GO:0030856(regulation of epithelial cell differentiation)|GO:0040018(positive regulation of body size)|GO:0042104(positive regulation of activated T cell proliferation)|GO:0042448(progesterone metabolic process)|GO:0043029(T cell homeostasis)|GO:0043066(negative regulation of apoptosis)|GO:0045086(positive regulation of interleukin-2 biosynthetic process)|GO:0045579(positive regulation of B cell differentiation)|GO:0045647(negative regulation of erythrocyte differentiation)|GO:0045885(positive regulation of survival gene product activity)|GO:0045931(positive regulation of progression through mitotic cell cycle)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0046543(development of secondary female sexual characteristics)|GO:0046544(development of secondary male sexual characteristics)|GO:0050729(positive regulation of inflammatory response)	"Homo sapiens signal transducer and activator of transcription 5B (STAT5B), mRNA [NM_012448]"	chr17:37615778-37615719	hs|17q21.2
A_23_P100795	NM_213662	NM_213662	NM_213662	Hs.463059	6774	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	ENST00000264657	THC2469859	"GO:0000122(negative regulation of transcription from RNA polymerase II promoter)|GO:0003700(transcription factor activity)|GO:0004871(signal transducer activity)|GO:0005062(hematopoietin/interferon-class (D200-domain) cytokine receptor signal transducer activity)|GO:0005509(calcium ion binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006928(cell motility)|GO:0006953(acute-phase response)|GO:0007165(signal transduction)|GO:0007242(intracellular signaling cascade)|GO:0007259(JAK-STAT cascade)|GO:0007399(nervous system development)|GO:0008134(transcription factor binding)|GO:0019221(cytokine and chemokine mediated signaling pathway)"	"Homo sapiens signal transducer and activator of transcription 3 (acute-phase response factor) (STAT3), transcript variant 3, mRNA [NM_213662]"	chr17:37719508-37719449	hs|17q21.2
A_23_P100802	NM_001040431	NM_001040431	NM_001040431	Hs.16059	28958	CCDC56	coiled-coil domain containing 56	ENST00000328434	THC2465925	GO:0005739(mitochondrion)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens coiled-coil domain containing 56 (CCDC56), mRNA [NM_001040431]"	chr17:38203259-38203200	hs|17q21.31
A_23_P10081	NM_182896	NM_182896	NM_182896	Hs.533086	200894	ARL13B	ADP-ribosylation factor-like 13B	ENST00000335438	NP1175624	GO:0000166(nucleotide binding)|GO:0005525(GTP binding)	"Homo sapiens ADP-ribosylation factor-like 13B (ARL13B), transcript variant 1, mRNA [NM_182896]"	chr3:95255913-95255972	hs|3q11.2
A_23_P100868	NM_001033580	NM_001033580	NM_001033580	Hs.302051	80179	MYOHD1	myosin head domain containing 1		THC2475732	GO:0003774(motor activity)|GO:0005524(ATP binding)|GO:0016459(myosin complex)	"Homo sapiens myosin head domain containing 1 (MYOHD1), transcript variant 3, mRNA [NM_001033580]"	chr17:31943123-31943064	hs|17q12
A_23_P100872	NM_002146	NM_002146	NM_002146	Hs.98428	3213	HOXB3	homeobox B3	ENST00000311626	THC2482447	"GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007275(multicellular organismal development)|GO:0043565(sequence-specific DNA binding)"	"Homo sapiens homeobox B3 (HOXB3), mRNA [NM_002146]"	chr17:43984559-43984500	hs|17q21.32
A_23_P100883	NM_015355	NM_015355	NM_015355	Hs.462732	23512	SUZ12	suppressor of zeste 12 homolog (Drosophila)	ENST00000322652	THC2519335	"GO:0003676(nucleic acid binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0016568(chromatin modification)|GO:0035098(ESC/E(Z) complex)|GO:0042054(histone methyltransferase activity)|GO:0046872(metal ion binding)"	"Homo sapiens suppressor of zeste 12 homolog (Drosophila) (SUZ12), mRNA [NM_015355]"	chr17:27349869-27349928	hs|17q11.2
A_23_P10091	A_23_P10091											chr2:029269194-029269135	hs|2p23.2
A_23_P100912	NM_014030	NM_014030	NM_014030	Hs.514051	28964	GIT1	G protein-coupled receptor kinase interactor 1	ENST00000225394	NP661634	GO:0004872(receptor activity)|GO:0005096(GTPase activator activity)|GO:0005515(protein binding)|GO:0008270(zinc ion binding)|GO:0008277(regulation of G-protein coupled receptor protein signaling pathway)|GO:0016301(kinase activity)|GO:0043087(regulation of GTPase activity)|GO:0046872(metal ion binding)	"Homo sapiens G protein-coupled receptor kinase interactor 1 (GIT1), mRNA [NM_014030]"	chr17:24925338-24925279	hs|17q11.2
A_23_P100931	NM_014336	NM_014336	NM_014336	Hs.279887	23746	AIPL1	aryl hydrocarbon receptor interacting protein-like 1	ENST00000315736	THC2515050	"GO:0001895(retinal homeostasis)|GO:0001917(photoreceptor inner segment)|GO:0001918(farnesylated protein binding)|GO:0004872(receptor activity)|GO:0005488(binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0006457(protein folding)|GO:0007601(visual perception)|GO:0007603(phototransduction, visible light)|GO:0018343(protein farnesylation)|GO:0030823(regulation of cGMP metabolic process)|GO:0043066(negative regulation of apoptosis)|GO:0050896(response to stimulus)|GO:0051082(unfolded protein binding)"	"Homo sapiens aryl hydrocarbon receptor interacting protein-like 1 (AIPL1), transcript variant 1, mRNA [NM_014336]"	chr17:6269095-6269036	hs|17p13.2
A_23_P100935	NM_014336	NM_014336	NM_014336	Hs.279887	23746	AIPL1	aryl hydrocarbon receptor interacting protein-like 1	ENST00000315736	THC2515050	"GO:0001895(retinal homeostasis)|GO:0001917(photoreceptor inner segment)|GO:0001918(farnesylated protein binding)|GO:0004872(receptor activity)|GO:0005488(binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0006457(protein folding)|GO:0007601(visual perception)|GO:0007603(phototransduction, visible light)|GO:0018343(protein farnesylation)|GO:0030823(regulation of cGMP metabolic process)|GO:0043066(negative regulation of apoptosis)|GO:0050896(response to stimulus)|GO:0051082(unfolded protein binding)"	"Homo sapiens aryl hydrocarbon receptor interacting protein-like 1 (AIPL1), transcript variant 1, mRNA [NM_014336]"	chr17:6269209-6269150	hs|17p13.2
A_23_P100959	NM_153018	NM_153018	NM_153018	Hs.48832	124961	ZFP3	zinc finger protein 3 homolog (mouse)	ENST00000318833	THC2475885	"GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens zinc finger protein 3 homolog (mouse) (ZFP3), mRNA [NM_153018]"	chr17:4936352-4936411	hs|17p13.2
A_23_P100963	NM_182538	NM_182538	NM_182538	Hs.511912	201305	MGC29671	hypothetical protein MGC29671	ENST00000355530	THC2602852	GO:0005215(transporter activity)|GO:0006810(transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens hypothetical protein MGC29671 (MGC29671), mRNA [NM_182538]"	chr17:4337996-4338055	hs|17p13.2
A_23_P100990	NM_006771	NM_006771	NM_006771	Hs.248188	8687	KRT38	keratin 38	ENST00000246646	THC2488984	GO:0005198(structural molecule activity)|GO:0005882(intermediate filament)	"Homo sapiens keratin 38 (KRT38), mRNA [NM_006771]"	chr17:36846346-36846287	hs|17q21.2
A_23_P100991	NM_006771	NM_006771	NM_006771	Hs.248188	8687	KRT38	keratin 38	ENST00000246646	THC2488984	GO:0005198(structural molecule activity)|GO:0005882(intermediate filament)	"Homo sapiens keratin 38 (KRT38), mRNA [NM_006771]"	chr17:36846386-36846327	hs|17q21.2
A_23_P101007	NM_178493	NM_178493	NM_178493	Hs.106137	147111	NOTUM	notum pectinacetylesterase homolog (Drosophila)	ENST00000330917	THC2471643		"Homo sapiens notum pectinacetylesterase homolog (Drosophila) (NOTUM), mRNA [NM_178493]"	chr17:77507817-77506653	hs|17q25.3
A_23_P101013	NM_007267	NM_007267	NM_007267	Hs.632227	11322	TMC6	transmembrane channel-like 6	ENST00000322914	THC2751094	GO:0005215(transporter activity)|GO:0005783(endoplasmic reticulum)|GO:0006810(transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens transmembrane channel-like 6 (TMC6), mRNA [NM_007267]"	chr17:73624956-73621253	hs|17q25.3
A_23_P101025	NM_001040078	NM_001040078	NM_001040078	Hs.462402	654346	LOC654346	similar to galectin 9 short isoform	ENST00000328114		GO:0005529(sugar binding)	"Homo sapiens similar to galectin 9 short isoform (LOC654346), mRNA [NM_001040078]"	chr17:18338482-18338541	hs|17p11.2
A_23_P101038	NM_031962	NM_031962	NM_031962	Hs.307012	83900	KRTAP9-3	keratin associated protein 9-3	ENST00000377719	THC2486541	GO:0045095(keratin filament)	"Homo sapiens keratin associated protein 9-3 (KRTAP9-3), mRNA [NM_031962]"	chr17:36642999-36643058	hs|17q21.2
A_23_P101048	NM_031959	NM_031959	NM_031959	Hs.307026	83897	KRTAP3-2	keratin associated protein 3-2		THC2481121	GO:0005198(structural molecule activity)|GO:0045095(keratin filament)	"Homo sapiens keratin associated protein 3-2 (KRTAP3-2), mRNA [NM_031959]"	chr17:36409288-36409229	hs|17q21.2
A_23_P101054	NM_021013	NM_021013	NM_021013	Hs.296942	3885	KRT34	keratin 34	ENST00000251648	THC2473628	GO:0005198(structural molecule activity)|GO:0005882(intermediate filament)|GO:0008544(epidermis development)	"Homo sapiens keratin 34 (KRT34), mRNA [NM_021013]"	chr17:36787603-36787544	hs|17q21.2
A_23_P101073	NM_003553	NM_003553	NM_003553	Hs.278485	8387	OR1E1	"olfactory receptor, family 1, subfamily E, member 1"	ENST00000322608	THC2603175	GO:0004872(receptor activity)|GO:0004984(olfactory receptor activity)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0007608(sensory perception of smell)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0050896(response to stimulus)	"Homo sapiens olfactory receptor, family 1, subfamily E, member 1 (OR1E1), mRNA [NM_003553]"	chr17:3247909-3247850	hs|17p13.3
A_23_P101084	NM_032598	NM_032598	NM_032598	Hs.351068	84690	SPATA22	spermatogenesis associated 22	ENST00000268981	THC2485663		"Homo sapiens spermatogenesis associated 22 (SPATA22), mRNA [NM_032598]"	chr17:3293305-3293246	hs|17p13.3
A_23_P101093	NM_016429	NM_016429	NM_016429	Hs.408434	51226	COPZ2	"coatomer protein complex, subunit zeta 2"	ENST00000006101	THC2473709	GO:0005801(Golgi cis face)|GO:0006886(intracellular protein transport)|GO:0016020(membrane)|GO:0030126(COPI vesicle coat)|GO:0030662(coated vesicle membrane)	"Homo sapiens coatomer protein complex, subunit zeta 2 (COPZ2), mRNA [NM_016429]"	chr17:43460837-43458782	hs|17q21.32
A_23_P101111	NM_004715	NM_004715	NM_004715	Hs.465490	9150	CTDP1	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1"	ENST00000299543	THC2735040	GO:0003899(DNA-directed RNA polymerase activity)|GO:0004721(phosphoprotein phosphatase activity)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006366(transcription from RNA polymerase II promoter)|GO:0006470(protein amino acid dephosphorylation)|GO:0016787(hydrolase activity)	"Homo sapiens CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1 (CTDP1), transcript variant FCP1a, mRNA [NM_004715]"	chr18:75615094-75615153	hs|18q23
A_23_P101121	THC2656479								THC2656479		"KTNA1_MOUSE (Q9WV86) Katanin p60 ATPase-containing subunit A1  (Katanin p60 subunit A1) (p60 katanin) (Lipotransin) , partial (29%) [THC2656479]"	chr18:42857787-42857846	hs|18q21.1
A_23_P101131	NM_002091	NM_002091	NM_002091	Hs.153444	2922	GRP	gastrin-releasing peptide	ENST00000256857	THC2664755	GO:0005184(neuropeptide hormone activity)|GO:0005615(extracellular space)|GO:0005625(soluble fraction)|GO:0007165(signal transduction)|GO:0007218(neuropeptide signaling pathway)|GO:0008083(growth factor activity)	"Homo sapiens gastrin-releasing peptide (GRP), transcript variant 1, mRNA [NM_002091]"	chr18:55048898-55048957	hs|18q21.32
A_23_P101141	NM_017831	NM_017831	NM_017831	Hs.633703	54941	RNF125	ring finger protein 125	ENST00000217740	THC2477564	GO:0003676(nucleic acid binding)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0006512(ubiquitin cycle)|GO:0006955(immune response)|GO:0008270(zinc ion binding)|GO:0016874(ligase activity)|GO:0046872(metal ion binding)	"Homo sapiens ring finger protein 125 (RNF125), mRNA [NM_017831]"	chr18:27902774-27902833	hs|18q12.1
A_23_P101185	NM_004539	NM_004539	NM_004539	Hs.465224	4677	NARS	asparaginyl-tRNA synthetase	ENST00000256854	THC2591832	GO:0000166(nucleotide binding)|GO:0003676(nucleic acid binding)|GO:0003887(DNA-directed DNA polymerase activity)|GO:0004815(aspartate-tRNA ligase activity)|GO:0004816(asparagine-tRNA ligase activity)|GO:0005515(protein binding)|GO:0005524(ATP binding)|GO:0005625(soluble fraction)|GO:0005737(cytoplasm)|GO:0006260(DNA replication)|GO:0006412(translation)|GO:0006421(asparaginyl-tRNA aminoacylation)|GO:0006422(aspartyl-tRNA aminoacylation)|GO:0016740(transferase activity)|GO:0016874(ligase activity)	"Homo sapiens asparaginyl-tRNA synthetase (NARS), mRNA [NM_004539]"	chr18:53419247-53419188	hs|18q21.31
A_23_P101193	AY274809	XM_371116	AY274809	Hs.567308	4645	MYO5B	myosin VB	ENST00000285039	THC2606788	GO:0000166(nucleotide binding)|GO:0003774(motor activity)|GO:0003779(actin binding)|GO:0005516(calmodulin binding)|GO:0005524(ATP binding)|GO:0016459(myosin complex)	"Homo sapiens myosin 5B (MYO5B) mRNA, complete cds. [AY274809]"	chr18:45606882-45606823	hs|18q21.1
A_23_P101208	NM_001914	NM_001914	NM_001914	Hs.465413	1528	CYB5A	cytochrome b5 type A (microsomal)	ENST00000299438	THC2780885	GO:0004129(cytochrome-c oxidase activity)|GO:0004768(stearoyl-CoA 9-desaturase activity)|GO:0005506(iron ion binding)|GO:0005739(mitochondrion)|GO:0005783(endoplasmic reticulum)|GO:0005792(microsome)|GO:0006118(electron transport)|GO:0006631(fatty acid metabolic process)|GO:0006810(transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0020037(heme binding)	"Homo sapiens cytochrome b5 type A (microsomal) (CYB5A), transcript variant 2, mRNA [NM_001914]"	chr18:70071757-70071698	hs|18q22.3
A_23_P10121	NM_003012	NM_003012	NM_003012	Hs.213424	6422	SFRP1	secreted frizzled-related protein 1	ENST00000220772	THC2468923	GO:0004888(transmembrane receptor activity)|GO:0005615(extracellular space)|GO:0006916(anti-apoptosis)|GO:0007165(signal transduction)|GO:0009653(anatomical structure morphogenesis)|GO:0016020(membrane)|GO:0016055(Wnt receptor signaling pathway)|GO:0030154(cell differentiation)	"Homo sapiens secreted frizzled-related protein 1 (SFRP1), mRNA [NM_003012]"	chr8:41239377-41239318	hs|8p11.21
A_23_P101237	NM_031446	NM_031446	NM_031446	Hs.37883	83608	C18orf21	chromosome 18 open reading frame 21	ENST00000269194	THC2511142		"Homo sapiens chromosome 18 open reading frame 21 (C18orf21), mRNA [NM_031446]"	chr18:31811458-31811517	hs|18q12.2
A_23_P101240	CR626634	XM_937000	CR626634	Hs.293236					THC2601567		full-length cDNA clone CS0DI056YF22 of Placenta Cot 25-normalized of Homo sapiens (human). [CR626634]	chr19:56526730-56526671	hs|19q13.33
A_23_P101246	BC016993	XM_937000	BC016993	Hs.293236	147645	LOC147645	hypothetical protein LOC147645		THC2607038		"Homo sapiens, clone IMAGE:4401841, mRNA. [BC016993]"	chr19:56526830-56526771	hs|19q13.33
A_23_P101253	NM_025040	NM_025040	NM_025040	Hs.292336	80110	ZNF614	zinc finger protein 614	ENST00000270649	THC2474555	"GO:0003676(nucleic acid binding)|GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens zinc finger protein 614 (ZNF614), mRNA [NM_025040]"	chr19:57210892-57210833	hs|19q13.33
A_23_P101258	NM_025040	NM_025040	NM_025040	Hs.292336	80110	ZNF614	zinc finger protein 614	ENST00000270649	THC2474555	"GO:0003676(nucleic acid binding)|GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens zinc finger protein 614 (ZNF614), mRNA [NM_025040]"	chr19:57211185-57211126	hs|19q13.33
A_23_P10127	NM_003012	NM_003012	NM_003012	Hs.213424	6422	SFRP1	secreted frizzled-related protein 1	ENST00000220772	THC2468923	GO:0004888(transmembrane receptor activity)|GO:0005615(extracellular space)|GO:0006916(anti-apoptosis)|GO:0007165(signal transduction)|GO:0009653(anatomical structure morphogenesis)|GO:0016020(membrane)|GO:0016055(Wnt receptor signaling pathway)|GO:0030154(cell differentiation)	"Homo sapiens secreted frizzled-related protein 1 (SFRP1), mRNA [NM_003012]"	chr8:41238881-41238822	hs|8p11.21
A_23_P101272	NM_017908	NM_017908	NM_017908	Hs.590938	55663	ZNF446	zinc finger protein 446	ENST00000335841	NP287166	"GO:0003676(nucleic acid binding)|GO:0003700(transcription factor activity)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens zinc finger protein 446 (ZNF446), mRNA [NM_017908]"	chr19:63684277-63684336	hs|19q13.43
A_23_P101281	NM_032828	NM_032828	NM_032828	Hs.288995	84914	ZNF587	zinc finger protein 587		THC2486350	"GO:0003676(nucleic acid binding)|GO:0003677(DNA binding)|GO:0004842(ubiquitin-protein ligase activity)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006512(ubiquitin cycle)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens zinc finger protein 587 (ZNF587), mRNA [NM_032828]"	chr19:63067990-63068049	hs|19q13.43
